Life expectancy ,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
78.1,1,3.58,2377.010299,89,0,55.5,1,93,9.66,88,0.1,8199.414621,1.8,1.8,0.749,13.3
74.3,2,9.1,10.32588862,96,4189,57.7,2,89,5.53,89,0.1,92.277825,2.9,3.1,0.798,15.7
74.4,1,3.79,279.4290812,95,10,53.3,1,96,4.55,95,0.1,3843.591213,2.1,2.1,0.736,12.7
63.9,64,0.28,2.793843188,62,314,16.4,87,86,1.83,73,0.5,247.24276,13.2,13.6,0.465,7.9
54.3,47,4.73,64.24025208,76,125,14.6,86,94,6.58,86,2.0,422.6332374,1.0,9.6,0.325,4.7
56.1,25,1.15,10.73628066,75,262,2.1,39,74,4.56,72,2.1,583.493514,8.9,8.8,0.423,8.1
66.0,7,2.9,691.1333535,97,0,47.7,8,98,2.7,98,0.1,7962.365824,3.3,3.3,0.683,10.8
75.3,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,437.539647,1.6,1.6,0.713,12.0
73.9,11,4.85,58.4989742,93,1,5.8,14,93,4.73,93,0.3,428.87811,1.2,1.2,0.7,13.2
75.4,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,547.8517,6.0,5.8,0.741,14.4
58.4,28,0.01,4.344930862,62,6,21.7,42,63,5.39,62,1.9,52.3485646,7.8,7.8,0.396,8.5
74.8,3,1.28,64.85616718,98,1,56.5,3,98,6.54,98,0.1,414.15177,6.3,6.3,0.71,14.4
79.7,0,9.42,318.5806628,94,0,61.2,1,98,9.34,98,0.1,2481.15781,0.8,0.7,0.85,16.3
77.0,32,0.17,285.119726,77,15,56.5,39,8,3.32,79,0.1,5854.614497,5.3,5.1,0.649,10.4
72.2,0,8.12,916.4741775,99,1,31.2,0,99,3.3,99,0.1,12154.82994,5.9,6.3,0.733,13.1
57.9,3,0.01,13.40477417,2,13,24.0,4,24,3.8,2,4.4,192.59733,8.5,8.4,0.582,9.2
57.3,51,7.3,45.96380839,73,1459,4.1,73,71,8.7,73,21.3,337.2253,16.3,19.1,0.635,13.0
56.4,31,0.19,1.399626733,57,3,19.4,48,46,3.8,63,2.4,49.456775,8.9,8.8,0.364,7.6
76.0,6,3.82,79.11626341,83,0,53.5,7,84,9.16,83,0.1,6432.216537,1.2,1.1,0.737,14.0
67.8,7,6.83,11.1516268,99,4,49.2,8,98,4.42,99,0.1,97.649972,2.3,2.5,0.763,14.5
67.4,12,0.01,6.914723983,86,15,17.6,14,84,6.24,86,0.3,95.244132,11.0,11.2,0.54,10.7
56.8,54,0.61,101.8113996,66,24,21.3,90,72,6.59,66,1.5,835.88998,8.5,8.3,0.404,7.5
75.2,11,7.75,961.1774676,84,0,57.5,12,92,6.68,91,0.1,5878.76127,1.1,0.9,0.782,16.1
77.6,1,11.21,287.2084529,6,0,58.1,1,96,8.12,95,0.1,2327.4591,0.8,0.8,0.869,18.0
73.3,1,3.96,201.1855461,93,0,5.7,1,94,4.55,93,0.1,2993.832531,2.0,2.1,0.725,11.9
71.8,1,10.2,33.26778134,88,0,58.1,1,94,7.41,93,0.1,287.534843,2.4,2.4,0.723,12.9
74.1,0,10.37,150.3116884,94,0,6.2,0,94,5.67,94,0.1,1532.22924,2.2,2.2,0.814,15.4
74.0,44,1.54,421.2956602,71,16244,53.5,54,85,4.95,85,0.1,4316.553895,5.3,5.2,0.641,10.7
59.1,22,0.01,41.25159038,95,0,18.2,32,95,7.54,95,0.7,312.7489794,7.4,7.3,0.404,10.6
72.3,0,4.94,75.2256582,99,0,32.4,0,99,2.64,99,0.1,976.9566,5.8,6.2,0.739,13.2
75.0,0,3.43,199.4118322,89,0,66.5,0,83,5.16,85,0.1,1555.47451,0.2,0.2,0.645,12.0
68.0,957,3.07,86.52153895,79,79563,18.1,1200,84,4.69,85,0.2,1573.11889,26.8,27.4,0.607,11.6
78.0,4,9.78,180.1095132,98,10,51.9,5,99,4.36,99,0.1,1839.72945,3.8,4.2,0.708,11.7
73.0,118,0.01,62.34988484,96,5625,15.8,150,96,3.16,96,0.1,835.789341,18.7,19.2,0.545,9.4
74.6,3,1.24,469.6282925,98,4,53.9,4,98,5.64,98,0.1,3778.184171,6.3,6.3,0.695,14.3
74.9,3,1.3,585.8776761,97,48,58.3,3,97,7.18,97,0.1,4137.55421,6.4,6.3,0.717,14.6
68.4,1,0.01,281.0023992,99,0,51.5,1,99,4.73,99,0.1,4181.583321,2.2,2.3,0.729,14.8
72.0,1,2.9,32.75626853,55,15,47.1,1,96,6.25,93,0.1,622.7427477,2.1,2.2,0.639,11.2
84.0,0,12.0,8329.731655,83,448,54.2,0,83,1.6,83,0.1,51386.37665,1.7,1.9,0.864,15.1
72.3,0,5.28,345.463714,96,0,25.5,0,98,4.3,98,0.6,3112.285712,8.1,8.0,0.602,11.9
63.3,6,2.85,2.19888585,99,0,4.7,8,99,3.51,99,0.1,174.51475,3.4,3.4,0.0,10.3
67.6,6,4.89,115.738974,48,7587,55.4,7,99,6.25,99,0.9,879.475486,2.9,3.0,0.683,13.9
77.6,1,6.74,1842.463782,8,0,57.1,1,8,8.3,8,0.1,12593.7374,1.9,1.8,0.78,13.0
73.0,3,2.97,29.68529375,81,0,47.0,4,81,7.9,81,0.4,248.4125,2.0,1.9,0.621,11.8
76.0,4,3.77,2.542436908,86,0,44.9,5,86,6.12,86,0.3,115.565314,2.1,2.0,0.583,11.0
73.1,2,10.4,14.96373588,95,8,56.3,3,95,5.56,95,0.1,822.18329,3.0,3.3,0.795,15.4
73.8,3,5.03,573.4346982,86,0,48.6,3,8,1.49,86,0.2,4479.95858,2.0,1.9,0.679,12.3
62.2,8,0.01,79.27658464,75,234,28.1,12,73,2.87,75,1.2,1393.261593,8.5,8.3,0.487,7.7
78.7,0,6.53,203.3157499,85,4,64.5,0,89,8.46,89,0.1,1519.5497,0.7,0.7,0.797,14.2
68.0,0,1.76,253.8196705,99,305,53.2,0,95,3.35,94,0.1,2835.973972,4.2,3.9,0.689,13.3
76.1,0,0.01,2146.945741,94,7,58.0,0,93,5.83,93,0.1,17454.84342,1.9,2.0,0.838,16.4
75.6,0,0.01,648.1331781,9,0,6.2,0,94,7.25,94,0.1,6586.71929,1.9,1.9,0.797,15.1
59.7,24,0.35,66.02236299,54,31,19.1,42,87,5.68,87,0.7,733.581811,11.6,11.5,0.408,6.2
72.1,0,7.41,843.1186662,99,0,28.7,0,99,4.64,99,0.1,8524.961236,6.1,6.5,0.713,12.1
69.5,0,6.85,549.8096097,97,0,46.3,0,98,5.81,97,0.3,4258.788611,3.5,3.4,0.7,12.7
72.3,20,0.62,188.2902861,98,834,52.7,23,99,5.67,99,0.1,2861.5545,6.4,6.2,0.596,10.5
79.3,2,7.67,181.525923,94,1,59.9,2,94,7.39,94,0.1,1243.32824,0.8,0.9,0.816,15.3
73.5,1,3.59,16.97511622,99,0,46.3,1,99,4.7,99,1.9,482.24762,1.9,1.7,0.706,12.4
75.3,1,9.16,880.6403367,91,1,58.9,1,97,1.12,95,0.1,6353.826383,2.1,2.1,0.766,14.1
74.8,19,1.54,20.75120211,97,349,63.7,22,97,5.24,97,0.1,1172.3843,4.9,4.7,0.75,14.3
52.6,3,4.9,47.6164523,88,26,29.3,4,89,8.46,88,33.7,332.517125,5.8,5.9,0.519,10.8
68.3,134,0.08,211.8783404,81,21893,23.8,161,81,2.71,81,0.3,3634.27685,1.6,1.5,0.662,12.3
74.1,4,3.11,363.5721644,97,0,48.4,4,97,9.78,97,0.4,2178.38325,2.2,2.1,0.614,11.6
68.7,0,0.01,247.9492284,99,0,48.1,0,99,5.48,99,0.1,1858.689868,1.2,1.2,0.505,9.4
73.0,0,2.15,558.7206486,58,0,72.9,0,6,5.8,65,0.1,3942.9827,0.2,0.1,0.693,12.9
49.5,90,2.09,37.82511936,25,7085,16.9,132,72,5.64,73,13.4,256.4414872,4.1,4.0,0.298,5.8
48.7,84,7.07,249.9101958,69,265,19.3,133,65,3.84,69,2.6,3868.578883,9.5,9.4,0.468,8.1
75.7,1,5.52,78.80940216,98,0,47.8,2,99,8.3,99,0.2,4126.14671,2.3,2.2,0.725,12.6
72.3,1,3.74,7.132564768,64,6847,48.1,1,66,8.53,78,0.1,127.367228,2.8,3.0,0.694,12.0
85.0,0,8.02,3192.887363,95,40,64.3,0,99,9.77,99,0.1,25916.29353,0.8,0.7,0.86,16.7
84.0,0,8.2,2528.992935,98,3,64.9,0,99,9.24,99,0.1,22242.68193,0.8,0.7,0.858,16.8
58.8,27,0.01,5.140668848,63,53,22.2,41,63,5.49,63,1.0,54.169324,7.7,7.6,0.406,8.5
71.8,21,0.51,171.3658969,97,1455,51.7,24,99,5.41,99,0.1,2884.94776,6.4,6.3,0.589,10.3
53.6,490,0.01,263.2111031,49,6855,24.7,759,49,3.67,49,3.9,3221.678128,1.1,9.9,0.521,10.0
79.0,0,6.41,2247.035692,85,6,65.0,0,94,8.83,92,0.1,15835.34667,0.7,0.7,0.805,14.8
73.9,1,4.7,9.444875415,79,1356,48.6,1,82,8.6,82,0.1,153.57521,2.8,2.9,0.703,12.2
71.1,1,9.69,15.2357274,94,46,57.0,1,94,6.7,93,0.1,169.28586,2.5,2.5,0.709,12.9
74.2,1,3.64,25.62349238,92,0,48.1,1,94,4.87,92,0.9,462.517913,1.9,1.7,0.714,12.5
71.9,0,16.35,91.70962117,97,10,6.5,1,98,5.1,98,0.1,694.243915,2.0,2.1,0.793,15.6
79.4,2,12.09,3205.019918,81,256,59.3,2,99,7.99,98,0.1,21495.7741,0.6,0.5,0.83,15.6
75.5,1,5.52,58.45976019,98,0,48.6,2,95,7.6,98,0.1,4267.13578,2.2,2.2,0.728,12.8
76.7,0,1.83,91.13971812,97,0,22.1,0,97,7.93,96,0.1,633.79498,14.0,14.1,0.653,11.6
75.0,46,4.88,781.2062828,98,44,54.9,55,98,6.2,98,0.1,6751.998987,1.9,1.8,0.708,11.9
81.5,2,7.96,66.37840495,96,1617,59.9,2,96,8.89,96,0.1,464.18465,0.5,0.5,0.866,16.3
73.8,0,10.21,1356.022164,9,3,59.8,0,91,5.91,91,0.1,13822.8559,2.2,2.2,0.812,15.5
73.0,1,4.25,20.21822828,91,2281,48.8,1,92,5.25,9,0.1,1643.758397,2.0,2.1,0.679,10.9
72.2,5,2.14,275.6514934,93,164,5.6,6,96,5.54,93,0.1,7875.756953,2.8,2.8,0.745,11.9
58.8,7,0.56,6.913998013,91,376,13.3,10,95,3.5,93,1.9,232.7945459,9.7,9.7,0.0,4.7
72.0,7,6.58,44.79247812,68,253,43.1,9,71,5.9,78,2.5,282.4242,3.8,3.7,0.651,12.2
62.2,2,0.12,59.6596497,83,3,22.1,2,85,6.1,83,0.2,829.7586885,7.0,6.8,0.479,10.6
64.4,8,6.58,23.43400762,99,24,45.3,9,99,3.7,99,0.1,268.123657,2.5,2.6,0.714,13.1
78.6,0,12.61,10111.38928,95,1,55.8,0,99,7.67,98,0.1,65445.8853,1.0,0.9,0.865,13.6
73.4,1,10.8,766.4454884,95,22004,62.7,1,94,7.24,94,0.1,6843.263289,2.0,2.0,0.77,13.9
59.1,11,0.68,93.37278497,59,4023,38.2,14,52,6.68,55,1.3,539.41528,1.5,1.5,0.422,6.6
75.1,1,6.65,645.9583816,92,0,55.0,1,92,7.82,9,0.1,6871.897677,1.8,1.7,0.738,14.0
76.2,8,7.93,847.3717463,94,1,62.2,9,92,4.79,94,0.1,12245.25645,1.0,0.9,0.825,17.3
62.5,1,0.29,151.9755193,83,27,14.9,1,89,7.75,86,0.1,885.6382245,18.6,19.4,0.0,8.0
72.6,1,2.86,57.17810403,91,40,47.8,1,96,5.4,94,0.1,783.261699,2.1,2.1,0.645,10.8
72.7,10,1.29,93.50075111,8,290,44.6,11,83,4.92,82,0.1,1258.421953,6.7,6.5,0.589,10.1
75.4,0,6.56,666.7374371,91,5,59.7,0,95,6.92,95,0.1,7318.742449,1.9,2.0,0.792,15.1
75.2,215,5.63,91.26749779,99,9943,29.0,251,99,5.3,99,0.1,5633.79616,4.1,3.5,0.7,12.8
67.7,5,9.46,456.4586664,84,48,57.6,6,91,6.63,9,0.4,3891.37823,2.5,2.6,0.73,14.9
69.2,0,0.01,401.7931045,99,0,59.5,0,99,4.6,99,0.1,4353.121392,4.0,3.7,0.709,14.7
77.8,0,12.14,1884.098811,95,0,63.1,0,95,7.8,95,0.1,13467.46827,1.5,1.5,0.82,15.1
77.0,111,0.01,59.2589257,94,1986,16.4,139,94,3.8,94,0.1,856.342857,18.5,19.0,0.557,9.9
68.6,0,2.09,5.889526221,99,0,56.6,0,99,3.74,99,0.1,478.82327,4.1,3.8,0.698,14.2
57.1,51,0.11,5.665405066,71,801,16.9,99,71,6.98,71,1.1,341.2894618,11.0,1.8,0.307,4.2
72.2,0,3.85,47.73638191,46,0,7.9,0,49,5.25,53,0.1,322.543121,0.2,0.2,0.682,12.9
72.1,6,5.93,857.1307037,74,0,55.8,7,85,4.26,85,0.4,5968.876767,3.3,3.2,0.706,13.1
73.3,65,7.19,394.9321299,99,0,49.4,73,99,8.28,99,0.1,7313.557962,3.1,3.0,0.7,13.5
72.0,33,1.35,1.132766775,77,8927,56.8,39,85,5.37,85,0.1,64.72953,5.1,4.9,0.675,12.0
73.7,8,0.97,122.6523334,83,517,48.5,10,83,3.78,8,0.1,1762.24617,6.4,6.3,0.636,11.4
73.8,1,7.24,194.1732658,95,22,52.0,1,88,1.5,92,0.1,2964.47734,2.6,2.8,0.738,13.3
63.3,32,1.03,76.60442169,7,1,18.0,45,7,4.86,7,0.5,412.739341,7.6,7.5,0.503,10.2
78.0,0,0.83,361.0940984,62,0,48.2,0,66,3.9,66,0.1,2643.441423,1.5,1.5,0.589,10.7
73.0,70,7.1,30.30374691,99,57,48.6,79,99,8.36,99,0.1,586.145975,3.1,3.1,0.698,13.8
73.9,1,4.09,260.9963826,95,0,51.9,1,96,3.71,95,0.1,3526.978143,2.0,2.1,0.729,12.7
73.7,3,0.43,409.9812523,96,394,32.5,4,97,3.61,97,0.1,7269.17114,8.7,8.5,0.736,12.3
61.3,2,0.17,56.98952474,83,1,21.1,2,84,3.82,83,0.1,778.5454199,7.2,7.0,0.465,10.3
68.9,1,12.6,364.426052,98,149,57.2,1,97,6.34,99,0.1,3848.215966,2.2,2.4,0.723,14.6
74.2,21,1.49,32.78235828,96,7,61.9,25,97,5.61,97,0.1,1672.5693,4.9,4.7,0.715,13.0
62.1,59,1.81,154.2269697,94,0,2.1,84,94,5.49,94,3.0,1155.2582,8.0,7.8,0.536,11.1
66.2,0,0.7,325.1114746,83,0,38.7,0,88,6.44,84,0.1,944.81684,1.4,1.4,0.442,6.6
67.3,0,0.01,225.7307751,95,0,3.1,0,95,8.35,95,0.2,1821.878734,5.6,5.4,0.562,11.1
72.6,10,1.41,81.7274712,79,146,43.9,12,86,4.92,84,0.1,1177.629268,6.8,6.6,0.588,10.0
75.8,1,5.69,527.60848,95,0,49.5,2,92,8.9,95,0.2,4591.892776,2.2,2.1,0.733,12.8
73.6,57,7.33,564.5233902,99,0,51.1,64,99,8.65,99,0.1,8553.3847,3.0,2.9,0.714,13.8
71.4,95,7.0,140.9824766,92,1,45.3,109,99,7.13,99,0.1,2819.649531,3.3,3.3,0.692,14.6
75.8,40,5.11,980.2537444,98,23,57.2,47,98,5.83,98,0.1,8767.92258,1.8,1.7,0.723,12.2
64.0,1600,1.2,27.33800857,6,55443,13.0,2100,58,4.22,63,0.3,621.3183767,27.2,28.2,0.518,9.2
78.0,0,12.12,170.9884138,91,0,57.7,0,94,7.1,94,0.1,1444.1589,2.4,2.4,0.814,16.2
79.5,2,12.26,228.3543024,82,67,58.8,2,98,7.25,98,0.1,1719.53541,0.6,0.5,0.828,15.7
72.8,4,0.59,313.3626015,98,1,58.6,4,98,8.8,98,0.1,2537.349,3.9,3.8,0.733,13.7
57.6,25,1.28,7.615430126,75,928,22.0,39,77,4.2,75,1.8,82.1513498,8.1,8.0,0.444,9.1
52.7,505,8.54,204.7186256,42,6447,23.5,788,42,3.3,42,4.4,2755.297787,1.7,1.6,0.507,9.7
76.3,0,1.59,100.503021,98,6,21.2,0,98,9.22,98,0.1,597.1659,14.1,14.2,0.651,11.8
55.0,56,0.55,81.8405007,74,2,19.0,96,76,6.97,74,1.7,595.6368319,9.4,9.3,0.363,6.4
52.6,46,0.01,11.3020668,37,1275,18.7,78,44,3.62,37,2.9,125.998515,8.7,8.5,0.39,7.3
82.3,0,7.3,1142.212403,67,26,59.0,0,98,11.93,98,0.1,5918.19898,1.5,1.3,0.906,15.8
53.6,2,4.93,56.93670561,89,313,29.7,4,89,8.47,89,21.6,369.239336,5.4,5.6,0.523,11.0
53.2,72,1.48,0.796915785,75,4,19.7,104,74,4.91,75,12.6,53.127719,3.7,3.7,0.372,8.8
54.0,23,0.01,1.321464076,92,15,23.3,33,92,11.59,92,0.8,71.8186998,7.7,7.6,0.413,9.3
68.4,22,0.27,112.1229028,92,2359,16.9,27,92,6.73,92,0.2,692.1166842,16.5,16.9,0.529,12.0
76.0,0,5.13,66.04635027,88,8,52.1,0,92,8.58,91,0.1,575.31664,2.8,2.7,0.71,13.1
65.5,1300,1.93,43.03043312,29,44258,14.9,1800,69,4.34,7,0.3,991.484634,27.0,27.9,0.556,10.2
72.9,3,10.6,919.1673438,99,353,55.0,3,96,5.21,96,0.1,8214.185378,3.2,3.6,0.766,14.1
74.9,248,4.88,50.28348923,99,52461,27.3,288,99,5.8,99,0.1,3838.434292,4.4,3.8,0.682,12.2
68.2,15,11.21,137.0063357,98,101,57.0,18,98,7.44,98,0.3,8562.89598,2.3,2.5,0.776,14.0
74.9,0,15.04,1717.088711,95,0,57.1,0,95,6.93,95,0.1,14726.31828,2.0,2.0,0.836,16.1
62.0,6,1.23,11.42385961,91,55,14.7,9,91,3.29,91,1.3,317.3294336,9.2,9.2,0.405,5.3
48.4,3,7.19,25.21683318,83,10,25.9,4,87,5.26,84,46.4,1637.4567,9.4,9.6,0.516,9.4
74.3,1,12.03,153.1400362,95,0,65.1,1,88,8.44,88,0.1,7853.335191,1.9,1.9,0.787,14.8
74.6,2,9.59,1230.748231,96,1159,59.2,2,88,5.6,92,0.1,9585.266593,2.7,2.9,0.794,14.7
56.7,4,3.21,53.30782696,83,26,23.1,7,82,6.7,83,5.9,543.957418,8.0,7.9,0.405,8.9
72.5,13,6.26,321.1953005,96,3526,22.6,15,98,3.55,98,0.5,2893.651356,8.9,9.1,0.682,12.0
74.6,1,9.56,915.3190791,94,370,57.7,1,94,9.72,94,0.1,6423.291783,2.2,2.2,0.757,13.5
67.6,0,0.85,28.90135229,9,0,43.8,0,93,6.42,9,0.1,146.931125,1.2,1.2,0.482,9.0
75.4,201,5.74,94.4344566,99,6183,3.0,233,99,5.26,99,0.1,6337.882993,3.9,3.3,0.703,12.4
73.0,0,7.44,376.4570185,98,0,56.0,0,98,6.29,97,0.1,4132.34927,2.7,2.7,0.746,14.8
49.4,4,2.75,104.3144732,91,0,29.2,6,89,9.8,91,18.2,923.136931,7.6,7.4,0.453,10.8
72.6,0,1.1,569.6255035,84,0,71.5,0,88,5.13,86,0.1,3392.64743,0.1,0.1,0.698,14.5
68.0,21,2.56,92.81479759,98,0,4.0,24,99,6.31,98,0.2,1213.265328,3.1,3.1,0.651,11.8
58.9,41,1.5,78.71123825,84,435,22.4,62,85,4.51,84,3.1,498.172394,8.1,8.1,0.499,8.1
69.9,0,6.68,332.2751709,96,1,55.7,0,97,6.17,97,0.1,3572.8513,2.8,2.8,0.728,14.2
64.7,35,0.21,31.93187316,27,12074,13.4,47,8,5.82,8,0.2,287.4156,17.8,18.4,0.463,9.3
71.1,0,13.3,1888.149904,96,1,59.3,0,96,6.61,96,0.1,14961.56818,2.9,2.9,0.82,16.5
72.5,0,1.08,4.783805563,84,0,72.1,0,86,4.67,84,0.1,37.846563,0.1,0.1,0.703,14.5
62.8,22,0.28,1.08833088,88,6,2.8,34,87,4.94,88,0.6,11.33678,1.8,1.7,0.435,7.1
74.1,18,0.43,198.7343495,99,10,57.5,21,99,5.91,99,0.1,3154.513484,6.4,6.2,0.64,12.1
69.6,0,7.24,69.63051047,96,0,45.0,0,97,4.76,96,0.6,4324.876427,3.5,3.5,0.7,12.8
77.3,2,10.71,243.808475,96,0,61.1,2,94,6.35,98,0.1,14341.675,1.9,2.1,0.85,16.4
58.0,30,2.47,184.3649102,83,15754,2.7,45,8,4.41,83,6.8,1463.213573,6.7,6.5,0.533,11.8
63.0,61,1.73,56.58984221,9,95,18.9,89,9,3.97,9,4.3,967.34773,8.2,8.0,0.523,11.1
51.1,69,8.1,35.95857279,77,8523,22.1,105,67,4.26,77,2.3,484.616884,8.6,8.5,0.523,11.4
